Nom;Brasserie;Pays;Note;Type;Fermentation;°Alc;Bouteille;Ville;Appréciation;Observations;Nom;;
Saint Feuillien brune;Friart;Belgique;14;Abbaye;haute;7,5;25 cl;Le Roeulx;Abbaye rouge-brune, trouble, mousse abondante, peu serrée, assez tenace. Saturation correcte. Arôme  caramel  finement houblonné et épicé, léger nez acre de  levure  , bien malté. Saveur mi-douce et amère, bouche pleine. Arrière goût assez prolongé, plutôt sec. Bonne bière mi-douce équilibrée.;Bière d' abbaye  brassée par infusion.;Saint Feuillien brune;;
Saint Idesbald;Huyghe;Belgique;16;Abbaye;haute;6,5;33 cl;Melle;Grenat-acajou, cristalline, peu  saturée , mousse crémeuse de tenue moyenne. Arôme boisé, vineux et sur, puissant mais distingué. Saveur puissante et un peu piquante, boisée, aigre-douce. Bouche pleine et haute (palais), avant-bouche amère, arrière bouche et post-saveur sures. Très bonne bière.;L'oud bruin  bier des bières d' abbaye  ! En mémoire de la Duinenabdij .;Saint Idesbald;;
Saint Idesbald blonde;Damy;Belgique;15;Abbaye;haute;6,5;33 cl;Zulte-Olsene;Fauve, limpide (sur lie), mousse serrée peu tenace,  saturation  faible. Arôme distingué, houblonné-sur, légèrement vineux. Goût étonnant pour une bière de cette couleur ; saveur boisée et aigre-douce. L'arrière-goût est d'abord aigre, sur, puis légèrement amer. Bonne  abbaye  déconcertante.;Sur lie. Bière de l'abbaye Duinenabdij  vraiment extra-ordinaire !;Saint Idesbald blonde;;
Saint Idesbald Triple;Damy;Belgique;;Abbaye;haute;;33 cl;Zulte-Olsene;Grenat-acajou, cristalline, peu  saturée , mousse crémeuse de tenue moyenne. Arôme boisé, vineux et sur, puissant mais distingué. Saveur puissante et un peu piquante, boisée, aigre-douce. Bouche pleine et haute (palais), avant-bouche amère, arrière bouche et post-saveur sures. Très bonne bière.;L'oud bruin  bier des bières d' abbaye  ! En mémoire de la Duinenabdij .;Saint Idesbald;;
Saint Landelin;Rimaux;France;14;Garde basse;basse;5,9;25 cl;Crespin;Une bonne garde, ambrée, goût assez fin et discret, subtilités caramélisées. La  St Landelin  Rimaux est une bière agréable, équilibrée et très fine.;Bière de  garde  de fermentation basse;Saint Landelin;;
Saint Landelin blonde;Enfants de Gayant;France;14;Abbaye;haute;5,9;33 cl;Douai;Dorée, limpide, moyennement  saturée , mousse blanche de durée moyenne. Odeur d'alcool et de  malt  affirmée, nez doux assez profond. Saveur très équilibrée, légèrement douce, bien en bouche, ayant de la mâche. Bière très agréable, légèrement fruitée, assez peu amère mais corsée.;Bière de l'abbaye de Crespin. En souvenir de  St Landelin .;Saint Landelin blonde;;
Saint Landelin brune;Enfants de Gayant;France;13;Abbaye;haute;6,2;33 cl;Douai;;Bière de l'abbaye de Crespin. En souvenir de  St Landelin .;Saint Landelin brune;;
Saint Léonard;Interbrew France;France;12,5;Garde;haute;7;75 cl;Armentières;Marron-orangée, limpide, mousse beige serrée et fine de durée moyenne. Saturation faible. Nez franchement caramélisé aux tons sucrés. Saveur à dominante maltée, ronde, sucrée, corsée, mais peu amère. Bière agréable qui manque de relief épicé.;A été créée à la brasserie de St Léonard (62, près de Boulogne/Mer).;Saint Léonard;;
Saint Louis gueuze;Van Honsebrouck;Belgique;12,5;Lambic;spontanée;5;25 ou 33 cl;Ingelmunster;Une gueuze moderne classique, bien faite, mais manque certainement du goût caractéristique des gueuzes originelles, agréable mais assez douce.;Fabriquée en dehors de la région bruxelloise.;Saint Louis gueuze;;
Saint Louis kriek;Van Honsebrouck;Belgique;13;Lambic;spontanée;5;25 ou 33 cl;Ingelmunster;Une  kriek  classique et un peu trop sucrée à mon goût. Ces dernière années un certain nombre de brasseries de gueuzes se sont orientées vers de produits plus doux, pour plaire au public ; cette  kriek  lambic  en est un bon exemple. Bière quand même fort agréable.;Gueuze parfumée à la cerise;Saint Louis kriek;;
Saint Louis pêche;Van honsebrouck;Belgique;13;Lambic;spontanée;3,5;25 ou 33 cl;Ingelmunster;Récemment inventée, agréable et peu commune. Encore une bière qui manque du goût caractéristique des gueuzes . Trop orientée grand public, donc un peu trop douce, mais agréable dans l'ensemble.;Gueuze  parfumée à la pêche;Saint Louis pêche;;
Saison  dupont;Lefebvre;Belgique;;Saison;haute;;25 cl;Quenast;;;Saison  dupont;;
Saison 1900;Lefebvre;Belgique;15;Saison;haute;5,2;25 cl;Quenast;Ambrée, limpide (sur lie), mousse serrée, abondante, tenace. Bien  saturée . Arôme malté puissant, fruité du  houblon . Nez intense, complexe, évolutif. Bonne bouche, saveur ronde et amère, post-amertume notable, coule bien et emplit bien la bouche, subtil arrière goût de grillé. Remarquable.;Remarquez sa mousse qui forme un chapeau imposant, crémeux et accrocheur.;Saison 1900;;
Saison régal;Du Bocq;Belgique;14,5;Saison;haute;6;25 cl;Purnode;Bonne tenue de mousse. Bonne amertume à l'odorat et au goût. De couleur abricot, cette bière sur lie possède un assez bon parfum de  levure  et une saveur fruitée correctement houblonnée.;;Saison régal;;
Saison Silly;de Silly;Belgique;14;Saison;haute;5,5;25 cl;Silly;Couleur cuivrée. Arôme fruité de  levure , relative douceur. Mousse assez abondante de tenue moyenne. Bière forte mais non  capiteuse . Douce et amère au palais, c'est une assez bonne bière corsée subtilement acide.;;Saison Silly;;
Saison St Médard ambrée;Du Baron;France;15,5;Garde;haute;5,5;75 cl;Gussignies;De couleur abricot foncé. Mousse abondante, onctueuse et stable. Assez amère (nuances d' Orval ) Bière sèche et rafraîchissante. Nez houblonné Légère âcreté de   levure , saveur équilibrée, très bonne bière de garde. La  St Médard  est probablement une des meilleures ' garde ' françaises !;Bière de garde artisanale, sur lie, non pasteurisée.;Saison St Médard ambrée;;
Saison St Médard brune;Du Baron;France;16;Garde;haute;5,5;75 cl;Gussignies;Bière brune rubis-foncé, mousse brune abondante et crémeuse de belle tenue. Nez houblonné, amer, torréfié. Saveur mi-sèche, finement caramélisée, avec des nuances de grillé-torréfié, amère (post-amertume profonde) Peu  saturée . Bonne bouche amère qui se prolonge, bière corsée, assez sèche et moelleuse.;La Saison  St Médard  est faite à Gussignies près de Bavay (Nord);Saison St Médard brune;;
Samuel Smith's imperial stout;Samuel Smith Old brewery;Angleterre;14,5;Stout;haute;7;33 cl;Tadcaster;Stout  noir à la mousse brune crémeuse et stable. Arôme puissant, nez de  caramel  grillé, léger parfum d'alcool. Bouche assez douce, réglissée, très amère, torréfiée, légèrement piquante. Saveur étonamment marquée, post- amertume forte et prolongée. Assez bonne bière extrêmement (trop ?) typée.;Un phénomène de goût et de corps, très typée, exceptionellement amère.;Samuel Smith's imperial stout;;
Samuel Smith's oatmeal stout;Samuel Smith Old brewery;Angleterre;14,5;Stout;haute;4,5;33 cl;Tadcaster;Stout  noir, mousse beige très serrée assez stable. Odeur franche de  malt  torréfié, nez doux de  caramel  grillé. Goût équilibré, mi-doux, bien amer. Bouche soyeuse, arrière goût parfumé, torréfié. Post-amertume tenace mais équilibrée. Bonne bière de caractère aux tons caramélisés et rôtis.;;Samuel Smith's oatmeal stout;;
Samuel Smith's pure brewed lager;Samuel Smith Old Brewery;Angleterre;15;Pils;basse;5;33 cl;Tadcaster;Pils claire et limpide, bien saturée, à la belle mousse blanche abondante. Odeur puissante, nez fin de  houblon  aromatique et de  malt  doux. Saveur très équilibrée, habile mariage houblon/malt, doux et très fin. Bouche fruitée, amertume fine et aromatique, corps bien balancé. Lager anglaise exemplaire.;Lager à l'amertume fruitée, et à la post-amertume légèrement plus amère.;Samuel Smith's pure brewed lager;;
San Miguel;San miguel;Espagne;11;Pils;basse;5,4;33 cl;Lerida;Une blonde décevante. Pas mauvaise mais pas franchement bonne. Couleur claire, teinte limpide, mousse classique de  pils  (assez serrée) Pils bien faite, moyennement corsée, bien maltée, mais sans intérêt particulier.;Une des rares bières espagnoles.;San Miguel;;
Sanctus;;;;;;;;;;;Sanctus;;
Sapporo;Sapporo;Japon;13;Pils;basse;4,7;50 cl;Tokyo;Pils dorée, limpide, mousse blanche serrée et tenace, bière bien saturée. Arôme de  houblon  aromatique, un peu fumé, léger nez de malt. Saveur très équilibrée et assez fruitée. Amertume légère et plaisante, goût de  malt  harmonieux. Post-amertume faible, corps moyen. Bonne bière rafraîchissante.;Pils  japonaise, harmonieuse et équilibrée, très agréable.;Sapporo;;
Satan Gold;De Block;Belgique;13;Pils;Basse;8;33 cl;;;;;;
Schavuit;Callewaert;Belgique;14,5;Spéciale;haute;7,8;33 cl;Zwevezele;Mousse très abondante, jaillit dès l'ouverture de la bouteille. Couleur abricot foncé. Bon arôme, goût aigre-doux, un peu piquant Goût évolutif, plus riche et plus fort que la  Rodenbach . Forte  saturation .;Oud bruin  bier;Schavuit;;
Scherdel;Scherdel;Allemagne;12,5;Pils;basse;4,7;33 cl;Hof;Pils  assez pâle, cristalline, mousse blanche peu serrée, saturation moyenne Arôme plutôt classique, nez de  malt  et de  houblon  légèrement fruité. Saveur sèche, amertume nette très légèrement fruitée, corps équilibré, s'atténuant assez vite. Pils allemande typique, honnête, sans caractère extraordinaire.;;Scherdel;;
Schneider Weisse;Schneider;Allemagne;15;Blanche;haute;5,7;50 cl;Kelheim;Bière marron, troublée par la levure. Mousse beige retombant assez vite. Saturation moyenne. Complexe aromatique fruité, nez doux de  malt  fumé. Saveur typique, belle attaque acide s'atténuant assez vite, bouche ample, corps harmonieux, subtilement épicé et fumé. Un classique !;Bière  blanche  du Sud de l'allemagne.;Schneider Weisse;;
Schulten Braü;Ottweiler;Allemagne;12,5;Pils;basse;4,9;33 cl;Ottweiler;Jaune pâle, limpide, mousse blanche serrée, saturation moyenne. Arôme bien herbacé de houblon dominant le malt. Goût franc, houblonnage très amer, peu aromatique, saveur sèche. Post-amertume forte et longue, presqu'excessive, ce qui l'empêche d'être désaltérante. Très typée, manque un peu de finesse.;Pils allemande très houblonnée.;Schulten Braü;;
Sebourg;Duyck;France;13;Spéciale;haute;6;50 cl;Jenlain;Bière dorée, limpide, bien saturée en bulles fines. Belle mousse tenace. Nez riche et complexe de  houblon , tons légèrement fumés de  malt , nez doux et rond. Saveur douce, belle attaque, dominante maltée/fumée, dense, un peu collante. Corsée, ronde, amertume équilibrée. Sécheresse en fond de bouche.;Sebourg est une bière blonde de  garde , douce, dense et un peu lourde.;Sebourg;;
Septante 5;Terken;France;13;Bière de garde;Basse;7,5;75 cl;Roubaix;;;;;
Sezoens;Martens;Belgique;14,5;Saison;haute;6;25 cl;Bocholt;Bière jaune assez claire, mousse abondante et aérée, subsistant sur 2 à 3 mm. Bien  saturée . Cette bière limpide possède un arôme bien malté qui, malgré sa fermentation haute la rapproche de certaines  pils , en plus riche. Goût puissant et frais de  houblon  qui emplit la bouche. Bonne bière corsée.;Depuis 1758.  Het bier dat begint waar pils ophoudt  !;Sezoens;;
Sherry Poesy;Vandervelden;Belgique;16;Lambic;spontanée;6;75 cl;Beersel;Kriek  rose foncé, limpide (sur lie), mousse claire très fine et fugace. Arôme fruité et acide, tons verts et boisés, typiques d'une grande kriek. Saveur de vrai  lambic , touches de fruits verts (pomme, rhubarbe), acidité marqué, fruité presque trop délicat, goût très sûr. Une grande  Kriek .;Véritable kriek  lambic  fabriqué par  Vandervelden  à Beersel (Env. Bruxelles);Sherry Poesy;;
Simon pils;Simon;Luxembourg;12;Pils;basse;4,8;33 cl;Wiltz;Jaune, cristalline, mousse assez tenace relativement serrée, bien  saturée  en bulles moyennes-grosses. Arôme pilsé, malté et bien houblonné. Saveur houblonnée-amère, assez affirmée, un peu piquante (saturation). Présence d'un arrière-goût amer. Bien fait , n'appelle pas plus de commentaires.;Bière Luxembourgeoise du type  pils  (Pilsen);Simon pils;;
Simon Régal;Simon;Luxembourg;12,5;Pils;basse;5,5;33 cl;Wiltz;Une  pils  jaune clair, belle mousse crémeuse de durée réduite, assez serrée à accroche moyenne. Bière bien  saturée  en gaz. Odeur puissante de  malt  et de  houblon . Bonne amertume, coule bien en bouche, pétille bien. Bon corps pour cette  pils  bien faite sans être extraordinaire.;Bière pur  malt  et  houblon .;Simon Régal;;
Sixtus Abt 12;St Bernardus;Belgique;15;Abbaye;haute;12;33 cl;Watou;Bière marron-foncée, troublée, peu saturée, mousse beige peu stable. Au nez, parfum profond et épicé, caramélisé, nez onctueux et riche de melon très mur et sucré. Saveur vivante et fruitée, assez sucrée, légèrement épicée, corsée mais peu amère. Bière intéressante au caractère équilibré.;Bière d' abbaye  fabriquée à Watou sous contrôle des trappistes de  St Sixtus;Sixtus Abt 12;;
Sixtus Pater 6;St Bernardus;Belgique;15;Trappiste;haute;6;33 cl;Watou;Une  abbaye  acajou, très foncée, mousse assez serrée de durée moyenne, qui posséde une bonne accroche, abondante mais retombe assez vite. Arôme très puissant ou se retouvent des subtilités de  caramel , d'alcool et de  houblon  Bière ronde et presque trop moelleuse, douce et épicée. Bonne  abbaye .;Bière d ' abbaye  fabriquée sous contrôle des moines de  St Sixtus .;Sixtus Pater 6;;
Sixtus Prior 8;St Bernardus;Belgique;14,5;Abbaye;haute;7,5;33 cl;Watou;Acajou-marron, foncée, trouble, peu saturée, mousse brune d'abondance moyenne, assez peu stable. Nez aux tons de liqueur fruitée, subtilement épicé. Saveur pleine, jolie attaque, goût de  caramel  à peine poivré, bonne amertume, bouche à la post-amertume acre ( levure  et  houblon ) puissante.;Bière d' abbaye  fabriquée à Watou sous contrôle des trappistes de  St Sixtus;Sixtus Prior 8;;
SKÅL;Mead;Australie;15;Spéciale;haute;5;33 cl;Mudgee;Ale  australienne, mordorée claire, troublée par la  levure . Mousse de faible tenue, mais très vivante. Saturation forte. Arôme particulier, légèrement acide, nez doux de  malt  frais et fruité (pomme verte, kiwi). Goût de cidre frais alliant acidité légère et saveur ronde de malt. Très surprenant !;Bière australienne brassée selon une ancienne recette Viking. A découvrir !;SKÅL;;
Sloeber;Roman;Belgique;14;Spéciale;haute;7,5;33 cl;Oudenaarde;De couleur fauve-abricot, cette bière subtilement troublée par ses levures posséde une mousse assez abondante, mais aérée et de tenue moyenne. Arôme puissant et doux de  malt  doux caramélisé. Assez bonne présence en bouche, et arrière-goût plein. Bonne bière belge, non extraordinaire.;Bière de fermentation haute, refermentée en bouteille.(Prononcer Sloubeur).;Sloeber;;
Smithwick's;Smithwick's;Irlande;13;Pale Ale;haute;5;25 cl;Kilkenny;Une  Ale  ambrée, à la mousse crémeuse et tenace, avec une bonne accroche. Bon parfum de  malt  caramélisé, goût assez doux sans excés avec une post-amertume en tour de langue. Assez onctueuse, c'est une  Ale  de qualité très correcte, sans être extraordinaire.;Bière irlandaise, maintenant disparue et remplacée par la KILKENNY;Smithwick's;;
Snake Beer;A.C International Ltd;U.S.A;12;Pils;basse;4,5;33 cl;San Antonio;Pils  très pâle, cristalline, finement saturée, mousse blanche serrée et assez stable. Arôme finement malté, léger, touches subtiles de  houblon . Saveur fine, subtile, caractéristique des bières U.S produites au maïs. Peu corsée, amertume faible. Uniquement pour les grandes soifs.;Bière typiquement américaine, peu corsée, pour étancher les grandes soifs.;Snake Beer;;
Snoek;Door de Dolle;Belgique;14;Spéciale;Haute;6,9;33 cl;Esen;;;;;
Sol;Moctezuma;Mexique;11;Pils;basse;4,1;33 cl;Orizaba;Pils jaune, cristalline, finement saturée, mousse blanche serrée peu tenace Bon arôme de malt, net et tranché, peu de houblon au nez. Saveur de malt très sèche, malheureusement peu relevée, assez peu houblonnée, peu fruitée. Ne tient pas totalement en bouche les promesses de son arôme. Dommage.;Bière mexicaine.;Sol;;
Spartacus;;;;;;;;;;;Cuvée du Spartacus;;
Spaten Gold;Spaten;Allemagne;12,5;Pils;basse;4,2;25 cl;Münich;Une lager ( pils ) assez bien équilibrée, bon arôme de  malt , bien houblonnée Bière correcte de fermentation basse;Bière de la célèbre brasserie Spaten;Spaten Gold;;
Spéciale Christmas;GBM;France;12,5;Garde basse;basse;7,5;33 cl;Roubaix;Une ambrée correcte, un peu amère et peu sucrée. Bière très convenable.;Bière ambrée;Spéciale Christmas;;
Spéciale Roman;;;;;;;;;;;Spéciale Roman;;
Speltor;Moulin Meckert;France;13,5;Spéciale basse;basse;4,8;33 cl;Krautwiller;Bière jaune pâle, cristalline, bien saturée. Mousse blanche fine et serrée. Arôme fin, nez fruité de  houblon , doux et aromatique. Saveur légère et très agréable ; fraîche, subtilement fruitée, aromatique et fine. Amertume peu prononcée, manque de corps. Bière bien faite, agréable et désaltérante.;Bière de  malt  et d'épeautre (céréale douce riche en vitamines B);Speltor;;
Spelty;Moulin Meckert;France;8;Sans alcool;basse;0;33 cl;Krautwiller;Bière marron foncé, presque noire. Mousse beige assez crémeuse et stable. Nez typique d'une sans alcool, évoquant le  malt  et le  houblon  humide. Odeur pénétrante. Saveur bizarre, sucrée en première bouche, puis goût de grain humide, voire de salade cuite, peu amer. Sorte de limonade au malt. Bof !;Bière à base d'épeautre de culture biologique.;Spelty;;
Spendrup's Old Gold;;Suéde;11;Pils;basse;5,25;33 cl;Grängesberg;Une blonde moyenne, au goût de  houblon  bien présent Mousse fugace.;Bière blonde;Spendrup's Old Gold;;
St Bernardus Pater 6;St Bernard;Belgique;14,5;Abbaye;haute;6,7;33 cl;Watou;Fauve-abricot, limpide (sur lie), mousse de bulles moyennes, abondante et assez tenace.  Bonne  abbaye .;La brasserie de Watou fabrique également les Sixtus pour Westvelteren.;St Bernardus tripel;;
St Bernardus tripel;St Bernard;Belgique;14,5;Abbaye;haute;7;33 cl;Watou;Fauve-abricot, limpide (sur lie), mousse de bulles moyennes, abondante et assez tenace. Bière très  saturée . Arôme bien malté, nez de pomme ( levure ), alcoolisé, très agréable. Goût évolutif, picotant, fruité (pomme), mi-sec. Amère, ronde, corps correct. Arrière goût amer assez sec. Bonne  abbaye .;La brasserie de Watou fabrique également les Sixtus pour Westvelteren.;St Bernardus tripel;;
St Hermes;Clarysse;Belgique;15;Abbaye;haute;8;25 cl;Oudenaarde;Orangée, trouble, moyennement saturée, mousse compacte et stable qui forme un chapeau. Nez complexe, frais ( houblon  et  malt  acidulé), et profond. Goût bien malté légèrement aigre, très présent en fond de bouche, mi-doux à la post-amertume aromatique affirmée. Corsée, rafinée et fruitée.;Bière d' abbaye  belge. Goût malté-aigre peu courant.;St Hermes;;
St Michael Danish Lager;Carlsminde;Danemark;13;Pils;basse;5,8;33 cl;Nyborg;Une lager dorée, cristalline, à mousse serrée et de tenue moyenne. Arôme de  malt  bien présent, avec très léger arôme d'alcool et de  houblon . Bière assez corsée, coule et se prolonge bien en bouche, amertume moyenne, relative douceur et rondeur pour une  pils . Très correcte;Bière danoise vendue par Marks et Spencer;St Michael Danish Lager;;
St Michael Extra strong Lager;Carlsminde;Danemark;11,5;Pils;basse;7,5;33 cl;Nyborg;Une  pils  à mousse serrée et de tenue moyenne, assez abondante. Bière dorée à l'arôme assez faible. Goût relativement neutre, mais corsé en alcool. Pils très moyenne, mais forte.;;St Michael Extra strong Lager;;
St Paul Spéciale;Sterkens;Belgique;13;Abbaye;Haute;5,5;33 cl;Meer;Bière ambrée.;;;;
St Pierre Gueuze;De Neve;Belgique;11;Lambic;spontanée;5,2;37.5 cl;Schepdaal;Gueuze ambrée, finement saturée, mousse claire et compacte. Nez doux de fruits secs et confits, un peu boisé. Saveur assez sucrée, peu acide, à l'amertume fine et au nuances de futaille. Bière de type lambic, sucrée, probablement coupée. Manque d'authenticité et d'équilibre acide. Moyenne.;Gueuze lambic sur lie, répondant aux tendances actuelles de consommation.;St Pierre Gueuze;;
St Sixtus Abt;Abbaye de St Sixtus;Belgique;12,5;Trappiste;haute;11;33 cl;Westvleteren;Trappiste  marron foncée, troublée par la  levure , mousse beige fine, peu tenace, mais subsistant sur 2 mm. Arôme sucré riche, profondeur liquoreuse Goût sucré, saveur de levure riche et ronde, bière collant les lévres par sa teneur en sucre. Bière agréable, mais manque d'équilibre (trop sucré);Authentique trappiste de l'abbaye  St Sixtus  de Westvleteren (Flandres).;St Sixtus Abt;;
St Sixtus Extra;Abbaye de St Sixtus;Belgique;16;Trappiste;haute;8;33 cl;Westvleteren;Trappiste acajou, limpide (sur lie), mousse crémeuse de durée moyenne, correctement saturée. Nez piquant d'alcool très profond et doux, arômes complexes de  levure . Saveur puissante, ronde, épicée. Bouche ample marquée. Arrière goût fondu et durable, velouté des levures, équilibre doux et fort.;Authentique  trappiste  de l'abbaye  St Sixtus  de Westvleteren ( Flandres ).;St Sixtus Extra;;
St Sixtus Special;Abbaye de St Sixtus;Belgique;15,5;Trappiste;haute;6;33 cl;Westvleteren;Trappiste  acajou, limpide (sur lie), mousse claire abondante et serrée. Excellent nez intense, épicé, odeur de  caramel  réglissé assez douce. Légère acreté au goût, bouche finement épicée, ampleur et équilibre amer de  levure  Bonne bière  trappiste  affirmée malgré sa relative légèreté.;Authentique trappiste de  St Sixtus  de Wesvleteren ( Flandres ).;St Sixtus Special;;
Staropramen Pivo Zlaté Prahy;Staropramen;République Tchéque;13;Pils;basse;5;50 cl;Prague;Dorée, cristalline, finement saturée, mousse blanche serrée, durée moyenne Arôme frais légèrement fruité, tons doux de malt. Nez de  houblon  complexe (fruité+amer). Bouche pleine, attaque franche et picotante. Amertume bien ciselée, post-amertume longue.Corps marqué, dense et un peu collant.;;Staropramen Pivo Zlaté Prahy;;
Steenbrugge double;De gouden boom;Belgique;;Abbaye;haute;;33 cl;Bruges;;Bière d' abbaye  forte et corsée, aux saveurs durables d'alcool.;Steenbrugge double;;
Steenbrugge tripel;De gouden boom;Belgique;15,5;Abbaye;haute;8,5;33 cl;Bruges;Jaune pâle, trouble, moyennement saturée, mousse blanche assez serrée. Nez frais, excellent arôme mixte de  houblon / levure . Saveur douce, corsée et équilibrée. Puissante, accroche les papilles. Arrière goût durable, post amertume équilibrée, légère acreté/acidité. Bonne bière forte à déguster.;Bière d' abbaye  forte et corsée, aux saveurs durables d'alcool.;Steenbrugge tripel;;
Steendonk;Palm;Belgique;15;Blanche;haute;4,5;25 cl;Steenhuffel;Bière  blanche  de couleur jaune très pâle, limpide (sur  levure ), finement saturée, mousse blanche serrée et stable. Odeur douce et fromentacée, nez frais légèrement fruité et acide. Saveur équilibrée et sèche de céréales, pointe acide puis légèrement amère, bon corps, bouche agréable et fine.;Bière blanche d'orge, de froment, d'avoine et d'épices. Double fermentation;Steendonk;;
Stella;Semeuse;France;11;Pils;basse;5;25 cl;Lille;Une blonde de table, limpide, déploie une mousse classique et serrée de  pils . Bien malté, sans excès, bière rafraîchissante et légère.;;Stella;;
Stella Artois;Artois (Interbrew);Belgique;13;Pils;basse;5;25 cl;Louvain;Une  pils  de bonne qualité, légère et bien houblonnée. Qualité un cran au dessus de la Jupiler, bonne  pils  agréable.;Brasserie Artois. L'autre STELLA (après celle de la Semeuse);Stella Artois;;
Stella Artois Light;Artois;Belgique;13;Pils;basse;3,4;25 cl;Louvain;Pils  limpide, bien saturée, à la mousse blanche peu tenace. Nez léger au  malt  dominant. Saveur légère mais bien balancée, amertume agréable et équilibrée. Dosage alcoolique idéale pour une bière légère. Bonne bière sympathique pour une light.;Bière de type pils, légère en alcool.;Stella Artois Light;;
Stille Nacht;;;;;;;;;;;Stille Nacht;;
Stonehenge Exhibition;Stonehenge brewery;Angleterre;14;Brown Ale;haute;7;33 cl;Tisbury;Rouge cuivrée, limpide et correctement  saturée , mousse serrée de durée moyenne. Son arôme profond de  caramel  doux présage parfaitement son goût sucré et caramélisé à la saveur aromatique de  houblon  (peu amère), assez fin malgrès sa douceur profonde et maltée. Bonne bière moelleuse et forte.;Brown ale  probablement destinée à l'exportation, vu son degré d'alcool.;Stonehenge Exhibition;;
Stones Bitter;Cannon;Angleterre;13;Pale Ale;Haute;3,9;50 cl;Sheffield;;;;;
Stout Leroy;Leroy;Belgique;10;Stout;haute;6;33 cl;Boezinge;Marron-noire, très foncée, filtrée, mousse brune peu durable. Arôme très profond et assez doux de  malt  torréfié, nez agréable. Saveur très spéciale extrêmement puissante, mal équilibrée, très amére mais beaucoup trop sucrée Goût torréfié et grillé, très corsé, post-amertume longue. Bière moyenne.;Bière belge de type  stout . Très sucrée et amère.;Stout Leroy;;
Straffe Hendrik;Straffe Hendrik;Belgique;13,5;Spéciale;haute;5,4;25 cl;Bruges;Dorée, limpide, mousse blanche abondante et peu serrée mais stable, bien saturée en bulles fines. Arôme de  houblon  frais assez doux, saveur ferme, relative douceur maltée balancée par le houblonnage aromatique. Bière peu épicée et peu acide à la post-amertume affirmée, au goût corsé de  malt .;Bière blonde bien maltée, au goût corsé et durable en bouche.;Straffe Hendrik;;
Streekbier bosbier;St Jozef;Belgique;10;Spéciale basse;basse;5;25 cl;Bree-Opitter;Rouge, cristalline, mousse abondante, aérée, assez tenace. Bien  saturée . Arôme très fruité (myrtilles) et sur. Saveur puissante, ordinaire, sucrée, fruitée, âpre, manquant de finesse, piquante. Arrière goût amer. Mauvais équilibre goût/arrière-goût, bière manquant d'âme, sans intérêt réel.;Spéciale aux fruits, probablement faite à partir de sirops de fruits.;Streekbier bosbier;;
Stropken;Slaghmuylder;Belgique;15;Spéciale;haute;6;25 cl;Ninove;Mousse abondante et de belle tenue, compacte, semble flotter sur le verre Couleur abricot mûr, léger parfum de  caramel . Pleine de corps, c'est une bonne bière bien caractérisée, très corsée. Subtilités anisées.;La bière à;Stropken;;
Student;Lefebvre;Belgique;14,5;Spéciale;haute;5;25 cl;Quenast;Couleur vieil or pâle, trouble, bien saturée. Mousse blanche assez tenace. Arôme malté et céréalier, douceur profonde mais non sucrée. Saveur ronde et douce, fromentacée et légèrement acide, très fruitée et maltée. Bonne bière aux évocations franches de céréales. Moyennement rafraîchissante.;Bière blonde sur levure.;Student;;
Sublim;Piessens;Belgique;15;Spéciale;haute;8,5;33 cl;Temse;Spéciale dorée, sur  levure  abondante et compacte, bien saturée, à la mousse blanche abondante. Nez très frais et doux aux tons de  houblon . Saveur puissante de  levure , assez douce (sans excès), avec de la mâche et un corps long et fruité. Acreté et amertume bien balancées. Belle personnalité.;A rapprocher de la Duvel, en plus doux.;Sublim;;
Taddy Porter;Samuel Smith;Angleterre;14;Porter;haute;4,6;33 cl;Tadcaster;Bière noire à la mousse foncée de texture aérée. Arôme légèrement grillé, nez fin, sans caractère exceptionnel. Saveur étonamment corsée, amertume puissante, bouche sèche, post-amertume longue, goût de  caramel  brûlé et de pain grillé. Bière virile, à la  fois sèche, amère et moelleuse.;Porter sec et très amer.;Taddy Porter;;
Tell Lager;;Suisse;11,5;Pils;basse;4,9;33 cl;Suisse;Jaune paille, mousse de tenue assez faible. Arôme de  malt  assez présent et amertume correcte pour cette  pils  somme toute assez moyenne.;Bière des COOP suisses;Tell Lager;;
Tennent's;Tennent Caledonian brewery;Ecosse;15;Stout;haute;5;33 cl;Glasgow;Stout noir ébène, mousse brune crémeuse et stable. Arôme fin et puissant, nez légèrement grillé, fragrances torréfiées et amères. Saveur mi-douce bien en bouche, fumée et corsée. Amertume fine mais marquée, post-amertume assez profonde et durable. Très bon  stout  bouteille amer et moelleux.;Stout écossais en bouteille de grande classe.;Tennent's;;
Tennent's Extra;Tennent Caledonian brewery;Ecosse;14;Pale Ale;haute;4,6;50 cl;Glasgow;;;Tennent's;;
Tennent's Super;Tennent Caledonian brewery;Ecosse;14;Pale Ale;haute;9;50 cl;Glasgow;;;Tennent's;;
Terken brune;GBM;France;13;Spéciale;haute;7;25 cl;Roubaix;Rousse foncée, belle mousse assez crémeuse, limpide. Parfum assez subtil de  caramel , mais sans excés. Amertume moyenne, subtile caramélisation, bière assez sèche, très légère saveur d'alcool. Correcte et désaltérante.;;Terken brune;;
